barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_5372,contig_0 consensus mapping",787,1071,997,0,547,433,311,0,698,0,27,0,537,9,0,0,496,255,0,0,617,0,0,0,680,160,1402,259,803,1196,520,370,864,261,0,0,849,831,15,9,0
"Cluster_1559,contig_0 consensus mapping",975,1187,811,21779,782,1010,522,0,822,0,0,0,592,21,0,0,554,218,0,0,692,144,0,0,752,258,1823,1106,867,2001,709,312,1058,328,65,0,1049,368,124,9,0
"Cluster_8493,contig_0 consensus mapping",1375,1750,1761,0,691,877,1148,0,1174,0,0,0,872,22,0,0,847,607,0,0,1068,0,0,0,1030,162,132,236,1188,558,317,184,1480,111,0,0,1437,138,109,6,0
"Cluster_6662,contig_0 consensus mapping",822,1122,715,0,594,479,297,0,631,0,0,0,582,49,0,0,535,3040,0,0,673,0,0,0,659,215,2147,408,803,552,520,154,869,159,0,0,829,384,76,1,2799
"Cluster_679,contig_0 consensus mapping",740,965,591,0,819,475,485,0,763,0,0,0,465,74,0,0,489,24,0,0,636,260,0,0,586,70,160,175,734,285,162,31,815,175,0,0,818,408,3,0,3440
"Cluster_14017,contig_0 consensus mapping",825,1053,995,0,423,744,587,0,778,0,0,0,577,38,0,0,503,231,0,0,656,0,0,0,657,51,4,0,762,1502,581,240,945,220,0,0,869,550,123,9,3035
"Cluster_1495,contig_0 consensus mapping",691,831,854,0,613,384,402,0,616,0,0,0,488,47,0,0,420,0,0,0,528,0,0,0,534,127,56,14,611,785,654,212,722,573,10,16,706,221,48,11,0
"Cluster_2349,contig_0 consensus mapping",746,979,1036,0,527,1095,303,0,656,0,0,0,476,105,3104,119,521,0,0,0,541,222,0,0,588,143,230,159,733,395,492,143,847,171,0,0,829,423,25,0,1
"Cluster_166,contig_0 consensus mapping",796,986,659,0,463,1304,496,0,642,0,15,0,551,18,0,0,526,2010,1,0,651,3838,1,1,647,105,174,690,739,510,353,43,934,235,1,0,846,926,176,299,0
"Cluster_3510,contig_0 consensus mapping",970,1189,1065,0,1065,1077,342,0,869,0,0,0,564,27,0,0,608,343,0,0,679,93,0,0,750,44,182,17,885,549,679,348,1033,174,0,0,1011,156,43,0,1
"Cluster_1229,contig_0 consensus mapping",706,916,777,0,720,850,421,0,622,0,0,3,446,85,0,0,450,0,1,0,485,275,0,0,534,497,2786,519,686,401,154,60,817,184,0,0,711,466,320,12,3084
"Cluster_484,contig_0 consensus mapping",715,944,1148,0,458,418,409,0,639,0,0,0,483,45,0,0,514,1141,12,0,577,109,0,0,560,127,1126,332,745,604,334,234,790,514,7,0,789,451,609,204,1
"Cluster_3087,contig_0 consensus mapping",833,1000,711,0,227,621,419,0,838,0,17,0,463,35,0,0,479,105,0,0,601,688,0,0,597,67,113,38,742,620,245,63,894,128,0,0,804,229,215,6,5270
"Cluster_3237,contig_0 consensus mapping",603,837,633,0,466,723,394,0,537,0,14,0,415,0,0,0,398,507,0,0,475,0,0,0,567,921,5177,869,552,1196,1188,603,636,203,0,0,648,280,26,0,0
"Cluster_13833,contig_0 consensus mapping",798,1012,1105,0,929,726,891,0,654,0,0,0,488,0,0,0,593,282,0,0,620,0,0,0,721,62,171,45,806,152,262,110,967,686,0,23,873,211,9,0,3528
"Cluster_14539,contig_0 consensus mapping",823,970,566,0,729,698,445,0,664,0,18,0,481,67,795,275,469,0,0,0,558,0,0,0,597,94,45,1,706,252,151,66,883,142,0,0,805,397,270,32,2737
"Cluster_15502,contig_0 consensus mapping",815,1016,625,0,494,746,461,0,606,0,1,0,465,49,0,0,507,210,0,0,563,0,0,0,588,451,2414,1168,768,535,81,18,837,140,0,0,831,284,33,0,0
"Cluster_170,contig_0 consensus mapping",878,1071,846,0,481,710,382,0,803,0,0,0,547,3,0,0,561,92,0,0,652,0,0,0,659,26,44,0,771,127,274,77,948,129,31,38,911,264,167,7,1
"Cluster_7281,contig_0 consensus mapping",780,1007,851,0,641,588,703,0,647,388,0,0,455,2,0,0,480,359,0,0,551,115,0,0,579,56,64,97,699,429,511,36,878,431,2,0,771,184,40,0,0
"Cluster_10468,contig_0 consensus mapping",1170,1450,1106,0,1183,430,725,0,992,855,644,26,707,3,0,0,704,116,0,0,818,0,0,0,829,111,505,202,992,487,415,207,1184,455,63,77,1117,904,207,93,2671
"Cluster_8052,contig_0 consensus mapping",716,989,1060,0,622,912,422,0,644,381,1,0,478,91,0,0,497,857,0,0,548,0,0,0,575,620,3122,1711,744,412,1017,369,897,156,0,0,792,458,105,20,0
