barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_178,contig_0 consensus mapping",402,0,0,0,0,0,0,0,0,0,286,64,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,16,0,0,590,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14852,contig_0 consensus mapping",316,0,0,0,0,0,0,0,0,0,217,63,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,1,0,437,1,0,0,0,0,0,0,3,0,1,7439
"Cluster_1969,contig_0 consensus mapping",374,1,0,0,0,0,0,0,0,0,281,35,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,581,0,1,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14204,contig_0 consensus mapping",547,0,0,0,0,0,0,0,0,0,445,52,0,0,0,0,0,0,0,0,0,0,560,2,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,677,13,0,0,0,0,0,0,0,0,0,0
"Cluster_4805,contig_0 consensus mapping",295,0,0,0,0,0,0,0,0,0,299,17,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7188,contig_0 consensus mapping",307,0,0,0,0,0,0,0,0,0,239,52,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,458,8,0,0,0,0,0,0,0,0,0,0
"Cluster_8641,contig_0 consensus mapping",257,6222,1398,324,418,275,0,0,0,524,199,34,155,233,12,30,8,1091,9,173,0,0,317,7,1,0,3,1,0,4,0,0,0,3610,443,11191,14979,4304,4835,2297,2428,2837,4,1,0,2,457,1,5,0,1,1,1,0,0,0,0,0
"Cluster_13922,contig_0 consensus mapping",509,0,0,0,0,0,0,0,0,0,372,102,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5776,contig_0 consensus mapping",411,0,0,0,0,0,0,0,0,0,346,185,0,0,0,0,0,0,0,0,0,0,467,6,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,658,11,0,0,0,0,0,0,0,0,0,0
"Cluster_5556,contig_0 consensus mapping",221,0,0,0,0,0,0,0,0,0,182,25,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,2,0,0,0,0
