barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_14163,contig_0 consensus mapping",955,406,568,523,396,0,0,1,0,0,1,0,0,0,0,0,0,0,1954,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_16354,contig_0 consensus mapping",686,314,413,333,275,0,0,25,1,0,18728,1698,46,0,8,0,1,0,32,4,15,1,0,0,0,0,0,0,7,0,0,0,0,7763,1,0,0,2,0,0,0,1,0,6,0,0,0,0,1
"Cluster_25164,contig_0 consensus mapping",903,419,528,447,340,6,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5827,0,0,0,0,0,1,0,0,0,2,0,0,0
"Cluster_14684,contig_0 consensus mapping",844,360,466,443,324,0,0,0,0,2,0,0,0,0,1,1877,3,830,0,0,0,0,0,0,2,4,0,0,4,6,1,0,1,0,0,0,0,3,0,0,2,2,0,1,0,0,0,3327,0
"Cluster_31376,contig_0 consensus mapping",862,353,480,429,361,2,0,5,1,0,7,0,0,0,0,2006,0,0,4269,0,0,0,1672,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Cluster_15482,contig_0 consensus mapping",646,318,367,299,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_10242,contig_0 consensus mapping",659,331,339,352,278,0,0,3,0,0,0,1041,0,0,12,0,0,0,0,3,0,1,0,0,9,0,4,0,0,14536,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,10,0
"Cluster_27756,contig_0 consensus mapping",730,314,430,330,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_10174,contig_0 consensus mapping",703,312,315,354,274,0,4,0,0,1,0,2312,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,3426,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
"Cluster_11536,contig_0 consensus mapping",575,234,316,307,250,0,4,0,0,6,0,0,0,9,0,0,1,7,0,0,0,0,0,0,0,0,0,13563,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Cluster_7029,contig_0 consensus mapping",980,444,606,484,407,0,0,0,0,0,0,1,0,0,0,0,9,0,0,4,0,4,0,0,0,0,5,0,1,0,0,8,0,0,1,0,0,0,0,12,0,10869,0,0,3,0,0,0,2678
"Cluster_3,contig_0 consensus mapping",774,353,420,406,290,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,83,0,0,0,1
"Cluster_24011,contig_0 consensus mapping",845,388,479,425,338,0,1,0,0,0,0,0,1,1327,0,0,2,694,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
"Cluster_28797,contig_0 consensus mapping",875,392,573,435,394,0,0,1,0,0,3,0,0,0,0,0,1,0,1995,4,0,1,0,0,0,0,1,0,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1978
"Cluster_20950,contig_0 consensus mapping",745,386,410,376,327,0,0,0,0,0,0,3,0,0,2131,0,0,0,0,2,0,5,0,0,1,0,0,0,12,2,0,1,0,0,4153,0,0,0,0,0,0,1,0,0,5,0,0,1,2
"Cluster_25246,contig_0 consensus mapping",769,312,450,382,314,0,0,6,0,0,9,1,0,0,0,0,0,0,13,2,5742,6,0,3,4,0,0,0,1,0,0,1,0,6396,3126,0,0,1,0,0,0,1,0,3,1,0,0,0,4
