"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s5_vc12",1013164,7,6.55555555555556,0.604081894182719,7.66666666666667,14.079628310981,31,0.88460658129793,1.49136169383427,4.04347826086957
"s50_vc12",79879,164,38.3333333333333,5.78011549243975,623,3404.80587899504,194,2.79448804665917,2.28780172993023,0.31139646869984
"s51_vc12",576939,3,3.22222222222222,1.79985673928413,3.22222222222222,3.07787657645604,4200,0.508155488459631,3.6232492903979,1303.44827586207
"s52_vc12",148997,164,22.4285714285714,3.85285587096803,598,7450.63218433618,1000,2.77670118398841,3,1.67224080267559
"s53_vc12",448742,7,5.21052631578947,0.439484191018424,7.31578947368421,24.5580495017459,109,0.864261199301266,2.03742649794062,14.8992805755396
"s54_vc12",1148187,13,5.44444444444444,3.80117167796008,14.3333333333333,118.626907754348,800,1.15634720085992,2.90308998699194,55.8139534883721
"s55_vc12",596563,27,24.3333333333333,3.51814637007556,29.8888888888889,72.24897431132,112,1.47550977056308,2.04921802267018,3.74721189591078
"s56_vc12",701079,83,23.5,1.52154011204846,127.666666666667,2022.65753950912,6800,2.10607751924896,3.83250891270624,53.2637075718016
"s57_vc12",1446636,174,342,284.509817937447,865,279.03822909004,3.4e+07,2.93701610746481,7.53147891704226,39306.3583815029
"s58_vc12",1165351,171,328.666666666667,287.703267870702,784,276.272886142939,7.4e+07,2.89431606268444,7.86923171973098,94387.7551020408
"s59_vc12",1396009,176,355.333333333333,286.554803287979,885,287.379933143217,7.4e+07,2.94694327069783,7.86923171973098,83615.8192090395
"s6_vc12",1371597,6,6.26315789473684,1.8355207716096,6.26315789473684,7.86698807547863,28,0.796793360439702,1.44715803134222,4.47058823529412
"s60_vc12",788703,177,423,348.127149542143,1025,275.872059303778,2.4e+08,3.01072386539177,8.38021124171161,234146.341463415
"s61_vc12.1",940417,196,623.666666666667,3674.91737847715,3960,267.2639595366,0,3.59769518592551,-Inf,0
"s62_vc12",1925078,3,2.11111111111111,1.24715445749376,3.22222222222222,17.0746672048053,460000,0.508155488459631,5.66275783168157,142758.620689655
"s63_vc12",1793233,2,2.11111111111111,0.217104548170761,2.11111111111111,2.56978415930074,340000,0.324511091513504,5.53147891704226,161052.631578947
"s64_vc12",1351831,4,4.15789473684211,2.21256568820916,4.15789473684211,6.03436935725298,14600,0.618873490337613,4.16435285578444,3511.39240506329
"s7_vc12",1471759,20,18.7777777777778,5.04335726377591,22.25,33.1542410629207,43,1.34733001531695,1.63346845557959,1.93258426966292
"s8_vc12",717329,66,7.66666666666667,1.29315749558723,89.5714285714286,2341.54992914823,32000,1.95216950081646,4.50514997831991,357.25677830941
"s9_vc12",290193,4,4.33333333333333,2.27717631712878,4.33333333333333,4.49792517635753,6,0.636822097587174,0.778151250383644,1.38461538461538
